Layer,Layer_KR,Company,Ticker,Country,Stage_Code,Stage_Label,Reason
L0,원자재,Freeport-McMoRan,FCX,🇺🇸,A,🟢 지금 실적,구리 $6.60 역사적 최고가. AI·전력·EV 3개 테마 동시 걸림. EBITDA $120억 예상
L0,원자재,Southern Copper,SCCO,🇺🇸,A,🟢 지금 실적,구리 공급 부족 구조적 지속. Goldman Sachs Buy 유지. 2040년까지 공급 갭 1000만톤
L0,원자재,Albemarle,ALB,🇺🇸,B,🟡 1년 선행,"Q1 2026 매출 YoY +33%, EBITDA +148%. 리튬 수요 2030년 2배 전망"
L0,원자재,POSCO홀딩스,005490,🇰🇷,A,🟢 지금 실적,방향성 전기강판(GOES) 탑티어 생산. AI 전력기기 변압기 코어 병목 직결
L0,원자재,OCI홀딩스,010060,🇰🇷,C,🔵 장기 옵션,폴리실리콘·반도체 특수가스 소재. 2026 턴어라운드 전제 필요
L1-A,기존 컴퓨팅,NVIDIA,NVDA,🇺🇸,A,🟢 지금 실적,AI 인프라 수요 창출 근원. 포토닉스·냉각까지 스택 통제. Coherent·Lumentum $20억 전략투자
L1-A,기존 컴퓨팅,Broadcom,AVGO,🇺🇸,A,🟢 지금 실적,Google TPU·Meta MTIA 커스텀 ASIC 설계 파트너. 네트워킹 스위치 병목 동시 장악
L1-A,기존 컴퓨팅,TSMC,TSM,🇺🇸,A,🟢 지금 실적,NVIDIA·AMD·Apple·Alphabet 모든 AI칩 제조 허브. 2026 CapEx $520~560억 사상 최고
L1-A,기존 컴퓨팅,SK하이닉스,000660,🇰🇷,A,🟢 지금 실적,HBM3E·HBM4 NVIDIA 전략적 1순위 파트너. HBM 퍼스트 무버 지위 유지
L1-A,기존 컴퓨팅,삼성전자,005930,🇰🇷,B,🟡 1년 선행,HBM4 양산·NVIDIA 2순위 공급 계약 확인 시 재진입 트리거. 현재 파운드리 수율 개선 중
L1-A,기존 컴퓨팅,한미반도체,042700,🇰🇷,A,🟢 지금 실적,HBM 후공정 Dual TC 본더 핵심 공급사. SK하이닉스 수주 직결. 미국 상장 없음
L1-A,기존 컴퓨팅,Micron,MU,🇺🇸,A,🟢 지금 실적,HBM 미국 상장 대표축. 미국 내 HBM 생산 확대. 지정학 리스크 분산 수요
L1-B,자체칩 도전자,Alphabet,GOOGL,🇺🇸,B,🟡 1년 선행,TPU v6 Trillium 자체칩 완성도 최고. NVIDIA 의존도 가장 낮은 빅테크. 2026 CapEx $800억+
L1-B,자체칩 도전자,Microsoft,MSFT,🇺🇸,B,🟡 1년 선행,Maia AI 가속기·Cobalt CPU 자체 개발. 2026 CapEx $1900억. ETF 편입으로 이번 포트 제외
L1-B,자체칩 도전자,Meta,META,🇺🇸,B,🟡 1년 선행,MTIA 자체 가속기. CapEx $1250억. L5 원전·ESS 최대 발주처. ETF 편입으로 이번 포트 제외
L1-B,자체칩 도전자,AMD,AMD,🇺🇸,B,🟡 1년 선행,MI300X/MI400 NVIDIA 훈련 시장 도전. TSMC·Broadcom으로 간접 커버 가능해 포트 미편입
L1-C,검사·소부장,Onto Innovation,ONTO,🇺🇸,A,🟢 지금 실적,Q4 2025 매출 $2.67억 사상 최고. HBM VPA 계약 $2.4억. 패키징 성장 +30%
L1-C,검사·소부장,FormFactor,FORM,🇺🇸,C,🔵 장기 옵션,HBM·AI·첨단 패키징 테스트 서브시스템 세계 1위. 포트 편입 시 Onto와 병행 가능
L1-C,검사·소부장,Camtek,CAMT,🇮🇱,B,🟡 1년 선행,HBM·칩렛·하이브리드 본딩 검사 플랫폼. 첨단 패키징 수주 급증
L1-C,검사·소부장,Synopsys,SNPS,🇺🇸,B,🟡 1년 선행,AI칩 설계 자동화 EDA 양대 산맥. 칩 복잡도 올라갈수록 구조적 수요 확대
L1-C,검사·소부장,Cadence,CDNS,🇺🇸,B,🟡 1년 선행,Synopsys와 EDA 시장 양분. AI칩 설계 소프트웨어 구독형 반복 매출
L1-C,검사·소부장,HPSP,403870,🇰🇷,A,🟢 지금 실적,세계 유일 고압 수소 어닐링 장비. 삼성·TSMC·인텔 전 선단 파운드리 고객. 경쟁사 없음
L1-C,검사·소부장,리노공업,058470,🇰🇷,B,🟡 1년 선행,테스트 핀·소켓 글로벌 탑티어. HBM 테스트 수요 연동. 높은 영업이익률 구조
L1-C,검사·소부장,ISC,095340,🇰🇷,B,🟡 1년 선행,HBM용 실리콘 러버 소켓 선두. 패키징 수요 확대 직접 수혜
L1-C,검사·소부장,피에스케이,319660,🇰🇷,B,🟡 1년 선행,Asher 글로벌 1위. 후공정 공정 확대 수혜. 삼성·SK 양사 고객
L2,열관리·냉각,Vertiv,VRT,🇺🇸,A,🟢 지금 실적,NVIDIA GB300 NVL72 142kW 냉각·전력 레퍼런스 아키텍처 공동 설계. AI DC 현재형 수혜 최강
L2,열관리·냉각,GST,083450,🇰🇷,B,🟡 1년 선행,자체 액침냉각 CDU 개발 + S-OIL 공동 솔루션. 한국 냉각 레이어 선행주 중 실체 가장 강함
L2,열관리·냉각,케이엔솔,381970,🇰🇷,B,🟡 1년 선행,Submer 협력 침지냉각. 국내 DC 액침냉각 채택 확산 수혜
L2,열관리·냉각,LG전자,066570,🇰🇷,B,🟡 1년 선행,AI Box 내 CDU·에어컨 공급. HVAC 역량 B2B 데이터센터 전환 진행 중
L2.5,수자원·수처리,Ecolab,ECL,🇺🇸,A,🟢 지금 실적,AI DC 냉각수 수처리 유일한 통합 솔루션. 오비보 인수로 반도체 초순수 진입. 구독매출 65%
L2.5,수자원·수처리,American Water Works,AWK,🇺🇸,A,🟢 지금 실적,미국 최대 상수도 유틸리티. DC 입지 결정의 핵심 인프라. 방어형 배당주 성격
L3,광통신,Coherent,COHR,🇺🇸,B,🟡 1년 선행,NVIDIA $20억 전략투자 + 다년 구매 약정. 800G→1.6T 전환 사이클 핵심
L3,광통신,Lumentum,LITE,🇺🇸,B,🟡 1년 선행,NVIDIA $20억 투자 + 구매 약정. EML 레이저 칩셋 글로벌 탑티어
L3,광통신,Marvell,MRVL,🇺🇸,B,🟡 1년 선행,PAM4 DSP + 차세대 광모듈 칩셋. 광통신과 커스텀 ASIC 양쪽 AI 선행
L3,광통신,POET Technologies,POET,🇨🇦,B,🟡 1년 선행,Semtech와 1.6T DR8 광엔진 공동 출시. 800G 광엔진 생산 주문 $500만
L3,광통신,이수페타시스,007660,🇰🇷,B,🟡 1년 선행,1.6T 고다층 MLB 기판 글로벌 공급. 네트워크 스위치·라우터향 수주 급증
L3,광통신,오이솔루션,138080,🇰🇷,B,🟡 1년 선행,데이터센터용 광트랜시버 진출 확인. DC 광통신 인프라 확장 국내 선행주
L3,광통신,대한광통신,010170,🇰🇷,B,🟡 1년 선행,국내 광케이블 원천 제조 기반. AI DC 광통신 인프라 확장 수혜
L4,그리드 하드웨어,Eaton,ETN,🇺🇸,A,🟢 지금 실적,전력기기·배전 장비 AI DC 수요 현재형 수혜 1위. 스위치기어·UPS 백로그 최고
L4,그리드 하드웨어,GE Vernova,GEV,🇺🇸,A,🟢 지금 실적,미국 그리드 재건 + AI DC 가스터빈 1위. 전력망 장비와 발전 이중 레이어 수혜
L4,그리드 하드웨어,Powell Industries,POWL,🇺🇸,A,🟢 지금 실적,시총 작아 ETF 비편입. AI DC 스위치기어 백로그 $4억+ 최고치 경신
L4,그리드 하드웨어,Preformed Line Products,PLPC,🇺🇸,A,🟢 지금 실적,송전선 고정 장치 세계 1위. 숨은 병목 강자. ETF 미편입 소형주
L4,그리드 하드웨어,Valmont Industries,VMI,🇺🇸,B,🟡 1년 선행,초고압 송전탑·구조물 제조 전문. 북미 그리드 재건 직접 수혜
L4,그리드 하드웨어,HD현대일렉트릭,267260,🇰🇷,A,🟢 지금 실적,초고압 변압기 쇼티지 최대 수혜. 미국향 수주 지속 확대. 리드타임 2~3년 고착
L4,그리드 하드웨어,LS 지주,006260,🇰🇷,A,🟢 지금 실적,LS전선+LS ELECTRIC+LS MnM 복합 수혜. NAV 대비 30~40% 할인. ETF 미편입 원천
